         778512335 function calls (766171447 primitive calls) in 512.124 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    89845    0.508    0.000   11.317    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/series.py:3508(_take)
   379334    0.505    0.000    6.875    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/ops.py:1110(_comp_method_OBJECT_ARRAY)
   625529    0.504    0.000    0.764    0.000 <frozen importlib._bootstrap>:416(parent)
   140336    0.504    0.000    1.727    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:3488(_verify_integrity)
   200313    0.502    0.000   12.041    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexes/range.py:260(_shallow_copy)
    96751    0.499    0.000   21.442    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:4388(reindex_indexer)
   805994    0.497    0.000    0.918    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexes/base.py:672(values)
    75056    0.475    0.000    0.475    0.000 {pandas._libs.algos.take_1d_int64_int64}
  3634127    0.474    0.000    0.474    0.000 {built-in method builtins.callable}
    37521    0.470    0.000   28.162    0.001 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/frame.py:6703(count)
   353278    0.456    0.000    0.822    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexes/base.py:920(_get_attributes_dict)
   130873    0.455    0.000   34.506    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexing.py:868(_getitem_tuple)
    37523    0.450    0.000    7.949    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:4431(_slice_take_blocks_ax0)
   504199    0.442    0.000    3.369    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/generic.py:4433(_consolidate_inplace)
      441    0.436    0.001    0.436    0.001 {method 'compress' of 'zlib.Compress' objects}
   164811    0.435    0.000    0.955    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:3351(_is_single_block)
   346956    0.424    0.000    1.919    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexes/base.py:2101(_can_hold_identifiers_and_holds_name)
    37521    0.423    0.000   52.579    0.001 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/frame.py:4164(dropna)
